Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Female,22,Engineering,52.29,55.03,57.82,84.22,74.06,3.99,85.90,56.09,F,6.20,No,Yes,High School,Medium,5,5
Male,18,Engineering,97.27,97.23,45.80,74.81,94.24,8.32,55.65,50.64,A,19.00,No,Yes,None,Medium,4,9
Male,24,Business,57.19,67.05,93.68,67.70,85.70,5.05,73.79,70.30,D,20.70,No,Yes,Master's,Low,6,6
Female,24,Mathematics,95.15,47.79,80.63,66.06,93.51,6.54,92.12,61.63,A,24.80,Yes,Yes,High School,High,3,7
Female,23,CS,54.18,46.59,78.89,96.85,83.70,5.97,68.42,66.13,F,15.40,Yes,Yes,High School,High,2,7
Male,21,Engineering,75.43,78.85,43.53,71.40,52.20,6.38,67.29,62.08,B,8.50,Yes,Yes,PhD,High,1,5
Male,24,Business,57.60,66.26,89.07,84.52,98.40,2.30,93.65,83.21,F,21.30,No,Yes,N/A,Low,5,6
Male,19,Engineering,51.91,45.67,73.96,80.12,95.90,3.73,93.24,81.93,F,27.30,Yes,No,None,Medium,4,4
Female,21,CS,85.97,84.42,90.87,57.05,56.33,0.51,94.01,95.62,A,8.00,No,No,Bachelor's,Low,9,9
Female,22,Engineering,64.01,87.96,98.47,96.98,55.63,5.88,78.60,84.99,A,9.60,No,Yes,None,Medium,10,6
Female,23,CS,85.72,83.52,97.43,67.29,76.95,4.59,97.62,58.25,A,13.20,No,Yes,High School,Low,1,4
Female,20,Engineering,77.75,52.14,91.37,52.24,87.85,7.61,90.95,87.58,C,21.30,No,Yes,Master's,Low,9,7
Male,21,Engineering,55.44,81.39,40.66,65.02,69.11,2.06,70.78,59.06,F,18.10,No,Yes,Master's,High,8,5
Male,18,Business,96.61,40.64,93.14,66.78,56.82,4.37,81.48,77.93,A,22.80,No,Yes,None,Medium,10,8
Male,19,Engineering,72.62,58.31,44.50,54.64,75.53,1.81,56.09,53.85,B,5.80,No,Yes,None,Low,4,9
Male,18,CS,86.72,63.93,91.07,81.00,66.88,6.14,77.57,52.37,A,25.30,No,Yes,None,High,2,9
Female,21,CS,75.05,90.11,56.81,67.34,67.59,8.48,63.16,73.21,F,29.70,No,Yes,None,Low,3,6
Female,23,Business,80.22,63.42,76.60,81.46,82.25,7.65,64.18,55.25,F,6.20,No,No,PhD,Medium,10,8
Male,20,CS,65.14,40.68,42.28,50.34,94.28,9.44,56.29,65.33,B,17.40,No,Yes,None,Medium,9,5
Male,20,Engineering,60.02,61.14,86.27,99.10,77.93,9.72,67.91,66.94,D,23.50,Yes,Yes,PhD,Low,10,4
Male,18,CS,77.13,69.94,46.70,74.81,84.38,7.72,74.07,88.47,D,16.90,No,Yes,High School,Medium,2,8
Male,22,Business,72.01,96.94,64.64,82.97,83.00,2.87,80.02,66.63,C,19.80,No,Yes,None,Low,8,8
Male,22,Engineering,69.51,96.46,89.05,85.79,77.56,2.19,65.24,74.72,C,28.00,Yes,Yes,None,Low,10,9
Female,23,CS,83.63,50.85,81.72,58.58,65.54,4.48,89.61,88.63,D,18.50,No,Yes,Master's,Low,1,9
Female,20,CS,84.53,51.11,40.36,55.59,68.89,9.94,76.05,60.24,A,10.90,Yes,Yes,High School,Low,4,6
Male,18,Business,52.30,49.80,64.18,57.63,65.79,4.13,81.90,90.24,C,23.50,No,Yes,High School,High,3,6
Male,18,Engineering,66.94,87.34,42.52,62.34,95.87,1.99,63.91,91.59,A,14.40,No,Yes,None,Low,10,6
Male,18,Business,70.59,40.36,80.41,58.41,91.33,9.44,90.71,99.44,D,12.10,Yes,Yes,N/A,Medium,2,7
Female,21,Business,54.84,47.63,98.14,83.70,78.97,3.86,81.21,72.20,D,11.20,Yes,Yes,Bachelor's,Low,3,4
Female,23,Mathematics,61.80,72.28,79.32,71.04,95.61,6.91,93.12,68.53,A,7.00,No,Yes,Master's,High,3,7
Female,22,CS,52.58,54.85,53.46,76.89,94.32,7.88,58.00,85.10,F,28.30,No,Yes,High School,Medium,9,4
Male,22,Mathematics,99.81,45.54,61.31,52.37,96.38,8.43,69.03,52.91,B,19.10,No,Yes,Bachelor's,Low,3,6
Female,21,CS,75.43,61.59,98.60,93.06,61.09,8.21,55.65,51.99,D,28.90,No,Yes,None,Medium,9,4
Male,19,CS,54.37,56.45,53.44,58.53,85.88,8.36,60.78,66.75,D,26.50,No,Yes,Master's,Low,4,7
Female,21,Business,51.01,70.67,73.69,68.01,80.46,6.68,69.73,86.48,F,5.80,No,Yes,Master's,Low,1,6
Female,23,CS,85.96,98.75,64.03,53.60,86.69,4.04,94.73,55.82,A,11.20,No,Yes,N/A,Medium,8,6
Female,18,CS,71.96,47.46,86.10,56.84,63.17,6.67,77.85,81.78,F,12.90,No,Yes,Bachelor's,Low,10,9
Male,21,CS,89.34,62.36,92.04,83.29,84.74,8.37,66.52,63.48,A,17.20,No,Yes,N/A,Low,5,6
Male,18,Engineering,96.17,95.92,60.45,84.63,70.49,3.51,87.34,82.58,A,22.90,Yes,Yes,Master's,Medium,2,8
Female,23,Engineering,79.97,92.61,79.62,83.85,91.70,2.97,50.98,72.85,A,22.00,No,Yes,Bachelor's,Low,9,7
Male,24,Business,59.36,63.66,72.94,77.61,89.77,3.44,68.50,55.76,C,29.70,No,Yes,PhD,Low,7,8
Male,23,Business,89.11,81.94,56.71,97.63,60.57,5.51,80.04,62.36,A,28.10,No,Yes,Bachelor's,Medium,6,6
Male,20,Engineering,97.79,45.27,56.32,75.36,59.19,0.52,79.16,60.99,A,9.70,No,Yes,Bachelor's,Low,2,4
Male,18,CS,79.01,82.75,72.32,72.47,85.89,7.79,80.38,58.23,A,26.50,Yes,Yes,Bachelor's,High,6,9
Male,22,Mathematics,84.10,98.37,49.24,62.38,77.52,1.39,60.58,73.42,D,26.10,Yes,Yes,Master's,Medium,7,6
Male,21,CS,66.87,72.25,88.65,54.94,77.86,1.33,66.85,97.73,C,19.40,No,Yes,N/A,Low,5,5
Male,24,CS,75.43,69.91,44.14,77.41,87.63,1.98,96.58,82.90,C,13.50,No,Yes,Master's,Low,5,9
Female,23,CS,86.73,51.24,45.67,65.74,92.75,5.77,98.70,91.80,A,10.20,No,Yes,Master's,High,4,5
Male,18,Engineering,96.39,78.03,60.53,76.20,61.95,2.86,65.60,99.05,B,10.30,No,Yes,Master's,Medium,10,7
Male,24,CS,81.45,75.43,47.09,60.31,77.78,3.68,82.23,77.03,B,13.40,No,Yes,Master's,Low,1,8
Female,19,CS,89.49,79.12,68.54,91.91,91.45,9.32,62.06,61.90,A,17.60,No,Yes,N/A,Low,10,8
Female,20,CS,58.58,41.56,63.98,99.98,93.64,8.47,68.43,96.39,D,19.60,Yes,Yes,PhD,Medium,7,4
Female,19,CS,60.60,72.92,83.31,66.12,64.37,8.52,89.62,84.95,B,13.10,No,Yes,N/A,Low,3,5
Female,23,Engineering,76.60,75.70,97.18,92.12,55.21,5.78,75.06,97.95,C,13.90,No,Yes,High School,Medium,5,8
Male,19,Business,75.43,52.45,85.21,93.65,61.64,8.66,92.48,82.55,B,5.30,No,Yes,High School,Medium,8,7
Female,19,Business,81.75,52.50,50.77,74.81,97.27,7.79,81.44,88.76,A,5.10,No,Yes,N/A,Medium,2,7
Female,20,CS,64.58,56.57,96.13,67.14,73.12,9.53,81.45,94.53,F,27.70,No,Yes,Bachelor's,Low,4,6
Male,20,CS,89.58,82.70,63.53,87.80,70.93,0.64,51.69,87.96,A,5.40,Yes,Yes,None,Low,9,8
Male,20,Mathematics,90.41,76.38,68.45,61.44,50.65,0.29,87.48,78.13,B,5.80,Yes,Yes,N/A,High,2,5
Male,24,CS,73.19,90.75,65.29,81.24,52.55,1.75,98.89,73.60,F,10.10,No,No,Master's,Medium,8,5
Female,20,Business,59.04,57.74,56.83,85.24,83.43,9.29,73.65,91.17,D,23.60,No,Yes,None,Low,9,9
Male,19,CS,82.34,94.72,93.70,74.81,79.49,6.06,57.93,88.60,B,22.00,No,Yes,N/A,Low,3,5
Female,22,Mathematics,99.64,84.62,59.93,60.36,78.78,4.26,98.85,68.32,A,21.20,Yes,Yes,PhD,Medium,5,9
Male,22,CS,81.13,63.70,74.72,92.44,55.52,5.13,64.51,74.92,F,19.40,No,Yes,Bachelor's,Medium,4,9
Male,20,Engineering,51.79,45.72,54.40,71.05,67.60,8.30,70.46,81.75,C,10.00,No,Yes,Master's,Low,10,8
Female,24,Business,50.86,55.42,87.84,60.82,90.62,9.29,53.87,51.42,F,14.90,No,No,Master's,High,10,7
Male,21,Engineering,66.02,97.41,86.45,77.13,58.75,7.30,55.54,62.38,A,17.00,No,Yes,Bachelor's,Low,8,4
Male,18,CS,59.79,58.62,57.78,93.17,94.13,7.60,60.83,62.51,D,19.60,No,Yes,PhD,Low,8,7
Male,23,Engineering,90.65,59.79,80.89,98.35,56.07,3.20,77.42,94.16,A,10.00,No,Yes,PhD,Low,5,8
Male,24,Business,92.24,51.38,82.23,87.41,58.46,4.67,77.89,66.57,A,23.20,No,Yes,None,High,5,8
Male,21,CS,62.93,88.41,73.75,50.28,73.89,8.85,80.31,77.26,B,12.70,No,Yes,High School,High,1,5
Female,23,CS,66.28,56.54,76.04,56.74,97.26,7.86,79.19,91.58,C,21.50,No,Yes,High School,Low,5,7
Female,21,Engineering,61.81,59.82,74.47,53.81,66.48,6.84,74.76,62.98,B,17.80,Yes,No,PhD,Low,1,7
Male,21,CS,95.42,64.86,44.91,55.06,82.91,0.65,90.10,56.19,A,19.80,Yes,Yes,Bachelor's,High,4,7
Female,22,Engineering,75.13,66.02,80.22,69.15,79.43,0.40,96.69,97.42,A,15.30,No,Yes,N/A,Low,7,8
Female,18,CS,82.81,64.68,68.19,66.92,57.48,1.30,63.49,85.23,F,16.10,No,Yes,High School,Low,2,8
Female,21,Engineering,70.77,70.22,66.31,74.81,62.41,5.81,56.51,58.85,A,26.70,No,Yes,N/A,High,1,5
Male,20,CS,81.55,88.87,91.60,94.11,96.51,5.36,71.25,90.99,D,16.90,Yes,Yes,Bachelor's,High,2,4
Male,23,Engineering,69.29,89.16,41.39,80.77,59.24,9.43,51.32,89.36,A,24.80,No,Yes,Master's,Medium,7,5
Male,24,CS,66.98,87.90,55.08,74.81,84.75,6.95,94.17,91.88,A,14.90,No,Yes,Bachelor's,Low,3,4
Female,22,CS,81.72,46.07,47.28,74.81,98.23,2.94,61.99,63.81,A,22.50,Yes,Yes,N/A,High,5,6
Female,23,CS,75.43,87.98,42.12,70.51,55.98,1.61,77.46,72.43,D,10.80,No,Yes,Master's,Low,1,5
Male,20,Mathematics,75.43,47.22,56.54,65.88,69.96,8.50,55.75,84.68,A,27.90,No,Yes,N/A,Low,10,4
Male,20,CS,57.47,47.48,99.31,71.92,61.20,4.60,77.66,69.53,D,29.20,No,Yes,Master's,Medium,10,4
Female,21,Business,68.43,96.87,56.21,80.52,61.08,6.53,51.95,53.50,F,27.50,Yes,Yes,N/A,High,10,6
Female,20,CS,70.76,89.16,79.82,74.65,55.95,5.65,88.44,56.82,C,13.70,No,Yes,None,Low,8,9
Male,18,CS,81.43,73.14,47.10,91.90,82.48,1.07,97.77,79.86,C,11.90,No,Yes,Master's,Medium,4,9
Female,20,Engineering,95.73,92.50,76.11,95.01,87.32,0.57,65.35,68.76,B,9.60,Yes,Yes,PhD,Medium,10,4
Female,21,Engineering,75.43,99.36,99.07,73.48,83.84,3.77,62.91,50.27,C,26.80,No,Yes,PhD,High,2,8
Female,23,Mathematics,75.43,76.64,57.51,61.99,96.23,3.62,72.40,88.34,F,8.00,No,Yes,Bachelor's,Medium,8,6
Female,20,Mathematics,59.69,76.77,90.88,97.26,57.28,6.74,81.00,70.84,C,21.10,No,Yes,PhD,Medium,10,7
Female,22,Business,75.11,85.27,99.85,86.75,65.99,6.32,59.45,65.69,B,13.30,No,Yes,Bachelor's,Medium,5,7
Female,24,Engineering,71.49,53.93,75.31,82.01,67.23,9.69,90.17,85.68,D,9.70,No,Yes,PhD,Medium,2,9
Female,22,Engineering,86.45,50.03,58.56,87.27,61.60,8.58,59.93,72.76,A,9.60,No,Yes,High School,Low,9,6
Male,22,CS,75.43,85.57,80.41,74.81,57.11,4.97,50.27,84.74,F,26.80,No,Yes,High School,High,6,5
Male,23,Mathematics,79.72,60.69,90.69,53.38,74.34,5.00,76.21,50.66,D,26.50,Yes,Yes,High School,Medium,8,8
Female,19,Engineering,94.19,48.10,50.28,57.66,91.72,6.74,55.76,50.47,A,11.80,No,Yes,High School,Medium,2,7
Female,24,Engineering,95.53,58.89,67.15,57.37,97.73,1.14,84.91,78.00,A,5.80,Yes,Yes,N/A,Medium,5,5
Female,22,CS,97.94,61.52,59.15,71.03,56.47,10.00,58.37,99.11,B,26.70,No,Yes,PhD,Low,3,6
Male,22,CS,88.66,97.91,57.00,57.87,91.16,5.19,90.87,63.62,B,6.40,No,Yes,Master's,Medium,8,7
Male,19,Mathematics,95.30,81.88,91.65,92.73,91.23,9.10,73.52,84.14,A,7.10,No,No,Master's,Medium,1,6
Female,23,CS,61.73,71.85,65.30,78.90,69.45,9.67,78.31,58.61,F,25.50,No,Yes,Master's,Low,9,9
Male,24,Engineering,59.88,98.13,60.34,68.41,55.50,5.82,59.33,65.58,F,25.40,No,Yes,High School,Low,6,8
Female,22,CS,50.32,94.19,76.21,53.48,99.50,1.03,57.33,53.90,D,10.10,No,Yes,N/A,Medium,1,7
Female,21,Business,85.34,70.72,53.16,79.55,82.78,5.73,81.56,94.04,A,6.00,No,Yes,PhD,Medium,3,4
Female,23,CS,96.87,94.34,53.79,55.83,99.11,5.98,62.77,65.52,A,6.60,No,Yes,N/A,High,8,7
